,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0000548571868948,1.0000132925949998,1.0003984005050626,1.0009321593814318,1.7090666496016016,0.9500795366565888,1.4493601509647998,1.2358168268689695,1.031729414536004,1.0287513742188301,1.0488700088961045,1.0600180557943621,1.2474742449301952,0.9911406096670188,2.6362195827544617,1.0193919046558761,1.1514029360148448,1.1478730144432767,1.0748819581672786,1.0358935111320695
1,1.0001614062109137,0.007575879574170302,0.00968285670999641,0.000889288569857729,0.0017976175006610545,0.0003408273217794226,0.020614365322732333,0.007953369732527284,0.004944308552950032,0.0004116047586073637,0.0016939174251873674,0.006678929501666355,0.000879895744865062,0.000288873168179343,0.0009347202097910836,0.0006833176659300008,0.0012646377198191085,0.0007016472567308583,0.0031216271984813664,0.001119800268697535
2,,,0.01650949031302641,0.00519796766621076,,0.47978449577690085,0.0020919041778253425,0.0012963320680471158,0.0010020982111758586,0.0004360063638583094,0.0016681839543356593,0.0020607147616872597,0.0004977744597039652,,0.002047401057714078,0.0023111168226313196,12.479816175323489,0.000717451455048547,0.0018762639818888855,0.014058763511547724
3,,,0.002275488367022133,,3.5011845434509254,1.282725766777836,0.0019696291641254915,3.6727360955472927,,0.0034795313028092617,0.0007858045074551363,0.0014396120638704138,0.0008153519961196997,0.0003718555320467877,,,0.0010499636723836055,0.001473248744145843,0.0008017270867478945,0.0032420529419558155
4,,0.015922872048229064,0.010329333830320113,0.4296155318211661,0.00813230687154058,0.001829160634272672,0.00042776884756653066,0.00031082710370424236,3.399761819040399,0.0002954501611066097,0.0007744440771642238,0.00023837950198571977,0.0015441380982808633,1.2858218440740443,0.000489673322931917,0.006134669859411351,0.8177912577550845,1.156058003971777,0.0005962904675974965,0.00013304511379918526
5,,0.0074123545064449506,0.0016805713403079008,0.0021400436423455148,0.012265877086215937,0.0018239216449665485,0.0004606695733848472,0.0019439945184844137,0.00445685151935261,0.0010577255375136447,0.001607495226544595,0.003817593972997513,0.00010218395193200694,0.0001228605957193694,0.004305095639349662,0.0014372375275498075,0.0005123599023495359,0.0012201028870976196,1.126054562203561,0.00014086445953526364
6,,0.006076879485251857,0.002015385538058527,0.0011837387647671575,0.0011867006286081793,0.01174523180924583,0.0003064330469731166,0.00047229153897474115,0.0013509890922051512,0.0011417160464206226,0.00011474827074811308,0.0002591229515613729,0.0016595123822147604,7.968319239079438e-05,0.000986602816379502,0.0003394919300010075,0.0003365381169264425,7.653228197112809e-05,0.0007982355008294424,0.00020778407279375602
7,,0.001593451449690116,0.0014356153013494546,0.002543257050735511,0.0009883609564570676,0.000715463065519255,0.0007925129201202285,0.0031895945891138094,0.00011257416976368755,0.0004079090524292608,0.00025983249889503036,0.0013221442853030426,0.00019294460443297715,0.00024578265436289167,0.00015112294910988946,0.00027146471490430314,0.0003116378625064682,9.873730284277886e-05,0.004102105637961179,0.00041555025546338573
8,,0.004650259914077593,0.004643187058324301,0.001858245061170923,0.0010808937956565405,0.0002408252442594988,0.00028180276533542204,0.0005537843571845883,0.00038690323919352053,0.0009021942372578217,8.98269579541716e-05,0.00020827503787415402,0.0004598482172706977,0.00031728656431716105,4.365683975846641e-05,0.00029311394961531413,9.074747266684114e-05,0.00012502024684076475,0.000537241580750842,0.0005830696069745856
9,,0.006051121545953406,0.0005277226454203852,0.0004409555878841154,0.0006541197155951776,0.0007617317263474664,0.00012232904428376637,0.0016933814177996674,0.00012253771620768502,0.000886957681835792,0.002464022622778991,0.00037447050411596854,0.00010781360395460854,0.00016791659156127983,5.372945727225737e-05,0.00025982783982979736,0.0002654011562847481,9.117941510938373e-05,4.994863968548982e-05,0.0010150878932459308
10,1.3004828539599538,0.007479877644090765,0.0002299480974530135,0.0013379772213825006,0.000924214855127094,0.0005122315942113508,0.00035382102328292093,0.00013157873216596081,0.00017909508108082133,0.00012631215548612645,0.00014718822670220112,0.0003151401923082262,5.677203062351391e-05,0.0004156370344793266,0.0004089927255147207,0.0009789920112260192,5.593454814979981e-05,0.0006472635158679847,0.00023303113707738327,0.0019840589080782735
11,,0.0028600852694174177,0.00043419259681213104,0.0010404314795014588,0.0010064227819678955,0.00023936905311196143,0.000448862230119309,0.0004449387214912518,0.0007153615444973888,0.0011498906922559231,0.00047522106335320187,0.0006578907604555533,0.00023645486708879173,0.0006043589478053642,0.0001782169373000679,5.5912979026271e-05,7.308771246702215e-05,7.483462908509415e-05,0.0008916578992921704,7.848793394157288e-05
12,,0.0041870886436407885,0.002140022044498408,0.0006144590630273491,0.0004857726866850109,8.604369412368056e-05,0.00030505120146727887,6.348450468688957e-05,0.00017212341919683685,0.0024939566751424522,0.00014998969068709774,0.0003453712049507242,4.379008366536068e-05,3.90523663506385e-05,0.0005413424480871102,0.00010554210106187056,0.0005148979848321282,0.00011741664255660759,0.0001467777057110223,0.0005411462706826929
13,1.32956134292995,0.0013645920706208585,0.0015166346981530083,0.00018662569540102563,0.0001768811343685622,0.00039254935413884944,0.0004467058845889771,3.937613204969086e-05,0.00028192837286896967,0.000199568721852873,9.563659259128526e-05,0.00024394486958798653,0.0003967343866141487,0.00016968707707084536,6.0645828843115214e-05,4.415021353220708e-05,0.0005241264517360855,0.00021026009720331238,0.0003155101928438535,5.2375302209727254e-05
14,,0.0014471153970906459,0.0016470794823560712,0.00018179526390164612,0.00023152281162156703,0.001718031271479448,0.0028967063748328906,0.0007360736864391,0.0001910148426717019,3.659076749210711e-05,6.508896448339552e-05,6.043212492948358e-05,7.086116714576007e-05,9.498689125682248e-05,0.00010374035585758368,0.00028479107332613125,5.207032439805844e-05,0.00038175521614457127,0.0002122272604213913,0.00011430340731890436
15,,0.0011009371667471594,0.0010701238162242803,0.0002908309354867732,0.0005835703784299273,0.00018020490404355288,0.00016956432599099042,0.00015407556975926453,0.0006127008622144999,0.0008667783443211839,0.0001717131301885257,0.00030360088444753887,0.0006873376750792178,0.00011065163502325626,8.286880971344678e-05,0.00036449770017352417,9.819894872787951e-05,0.0002658282558361977,6.654436800476352e-05,8.102840186126457e-05
16,0.23449210157750205,0.0013835723187068133,0.0006846015265445272,0.00037473387333457955,0.0008042633451546285,0.0002238082443006957,7.492129096854846e-05,0.0001497474223492361,0.00048015460335825805,0.00014426119551045263,2.5476172337878873e-05,0.0001547937084309202,0.0001436814723718734,0.00012231531043153677,0.0002539093735526008,0.0008061584572150274,0.00031129929373072243,8.560633918657724e-05,6.60686703460038e-05,0.00020623041855995951
17,0.33525155650552074,0.004767631089460152,0.0007143725582513309,0.00010374681690712913,0.0003394755306714024,0.0005033062137185256,0.00025328258417267347,0.0005505703903979755,0.0002799101035126079,9.009012659896685e-05,0.00014808897801551083,4.435331445412223e-05,0.0005536866502001256,7.377102264807547e-05,0.00030311720759874916,0.00017567220698856684,0.00016757137329376608,7.341884309030142e-05,0.00010360728688049465,4.575619529616567e-05
18,,0.002922172267256135,0.0004930660011929042,0.0004764015853994119,0.0008727417445123837,0.0005309017095102016,0.0008990237526856512,9.02889321418702e-05,0.00019493579266750423,0.00016963302140302603,6.866022232865406e-05,0.0005382431780170243,0.00020896984965193492,0.00014838463596567598,0.0001065766382897325,0.00011919782202596412,7.424518059631032e-05,0.00012049243685146857,0.00015220169223710664,0.00010943559488168528
19,1.2414892672801896,0.011443053562860767,0.0007570844638367343,0.00032718608382154485,0.00034019324273348563,0.0006687761837296717,0.00030977153272451064,0.00018334347814009632,0.00010386777619053508,7.451299498455363e-05,0.00011633928730902335,6.163965904960494e-05,0.0006040450564717636,0.0006433326935369578,0.0001274639057963527,3.8197826262529425e-05,2.3128398440595377e-05,4.273340514134417e-05,0.0001363414117185399,0.0001634876870936149
