,0,1,2,3,4
0,0.9839711127422327,1.2790034781819903,2.0426822163569365,1.64323890862452,1.265997528999875
1,,1.6036201836893798,,,
2,1.872490296704432,,1.4397668865537834,,
3,1.6230798063866532,,1.5798075990256037,1.1123351717155197,
4,1.725094770255249,1.315451752688174,,1.3589438269388059,1.4063552081492725
5,1.5837589908425462,1.470693679528636,,,
6,1.4112515193985313,1.4744305973897032,1.4130277642107392,,1.1647149992114747
7,1.68965147832788,1.254623896912133,1.2799314841044223,1.3907838607582588,
8,,,1.4114957662749488,1.3643494751204506,1.4405411738762397
9,,,,,1.39455557837006
